WardName,WardCode,Wardcode,PctSharedOwnership2011,PctRentFree2011,Candidate,InnerOuter,x,y,AvgGCSE2011,UnauthAbsenceSchools11
Ealing - Northfield,00AJGQ,E05000182,0.380517504,1.008371385,Boris,Outer,517044.0933,179072.1352,381.1430894,0.334803528
Ealing - North Greenford,00AJGR,E05000183,1.398026316,0.884046053,Ken,Outer,515685.305,184825.5536,344.2835714,0.813019391
Ealing - Northolt Mandeville,00AJGS,E05000184,1.795009873,1.400107701,Ken,Outer,513004.5849,184544.5723,340.5174359,0.880479926
Ealing - Northolt West End,00AJGT,E05000185,1.796513696,1.56527926,Ken,Outer,511474.903,183374.7599,332.3254808,0.96678276
Ealing - Norwood Green,00AJGU,E05000186,3.403643337,1.605944391,Ken,Outer,513863.7873,179405.0576,341.1745856,1.099120538
Ealing - Perivale,00AJGW,E05000187,0.921745673,1.354401806,Ken,Outer,516379.5964,183193.1886,352.6632653,0.769569892
Ealing - South Acton,00AJGX,E05000188,2.129429379,2.096157045,Boris,Outer,519647.0805,180041.082,342.8172249,0.87604712
Ealing - Southall Broadway,00AJGY,E05000189,1.798063624,2.323651452,Ken,Outer,512288.168,180169.596,331.8565789,0.677926766
Ealing - Southall Green,00AJGZ,E05000190,1.494365507,2.082312592,Ken,Outer,511852.5339,179129.8489,338.7047872,1.0143324
Ealing - Southfield,00AJHA,E05000191,0.589324802,1.24600101,Boris,Outer,520762.7692,179336.0165,339.9173913,0.99745509
Ealing - Walpole,00AJHB,E05000192,1.038819027,1.549116093,Boris,Outer,516997.4909,180007.3084,381.5714286,0.464943609
Enfield - Bowes,00AKGL,E05000193,0.762665698,1.25295079,Ken,Outer,531003.049,191970.7605,344.9013158,1.216527037
Enfield - Bush Hill Park,00AKGM,E05000194,0.274524158,0.878477306,Boris,Outer,533077.3827,194682.2601,365.022561,0.950931677
Enfield - Chase,00AKGN,E05000195,1.063829787,1.418439716,Boris,Outer,531307.905,199314.0569,335.2584337,1.335229759
Enfield - Cockfosters,00AKGP,E05000196,0.306807287,1.476510067,Boris,Outer,528062.9034,197406.9502,354.9392857,0.856809339
Enfield - Edmonton Green,00AKGQ,E05000197,2.319176692,1.898825917,Ken,Outer,534845.0129,192889.24,334.5882845,1.999600666
Enfield - Enfield Highway,00AKGR,E05000198,0.90490012,1.38296056,Ken,Outer,536356.7022,197286.8827,326.0902954,1.687625418
Enfield - Enfield Lock,00AKGS,E05000199,1.770750988,1.549407115,Ken,Outer,536776.5169,198996.7764,333.2733333,1.93300618
Enfield - Grange,00AKGT,E05000200,0.209364294,1.19908641,Boris,Outer,532155.2671,195657.3311,365.0427481,0.669816054
Enfield - Haselbury,00AKGU,E05000201,0.481678995,1.892310339,Ken,Outer,533388.2458,193453.1411,331.9722467,2.150196696
Enfield - Highlands,00AKGW,E05000202,0.380365876,1.014309002,Boris,Outer,530866.5302,197100.2672,358.3313559,0.697686567
Enfield - Jubilee,00AKGX,E05000203,0.430550356,1.516286035,Ken,Outer,535689.2975,194687.4273,332.2727273,1.592199546
Enfield - Lower Edmonton,00AKGY,E05000204,1.971738416,1.544528426,Ken,Outer,535430.467,193743.7357,321.4936585,1.734082535
Enfield - Palmers Green,00AKGZ,E05000205,0.604386116,2.037644621,Ken,Outer,531671.7275,192853.8007,349.5816456,1.076532399
Enfield - Ponders End,00AKHA,E05000206,1.919014085,1.602112676,Ken,Outer,536178.0802,195797.6653,337.5648241,1.581589958
Enfield - Southbury,00AKHB,E05000207,0.470929179,1.086759645,Ken,Outer,534235.122,196689.8609,334.8302703,1.474308118
Enfield - Southgate,00AKHC,E05000208,1.489253681,1.167710272,Boris,Outer,529995.3198,194715.7687,369.2124088,0.652040176
Enfield - Southgate Green,00AKHD,E05000209,0.174621653,1.105937136,Boris,Outer,529800.8243,192772.9467,346.9460938,0.988789546
Enfield - Town,00AKHE,E05000210,0.794833582,1.17569134,Boris,Outer,533025.786,197340.3199,347.324183,0.655174353
Enfield - Turkey Street,00AKHF,E05000211,1.257507508,1.238738739,Ken,Outer,535227.7888,199039.1923,321.13125,1.862456747
Enfield - Upper Edmonton,00AKHG,E05000212,0.450016072,1.864352298,Ken,Outer,534049.5972,192029.0292,335.477381,1.654080062
Enfield - Winchmore Hill,00AKHH,E05000213,0.299121331,1.252570574,Boris,Outer,531270.6485,194066.5614,380.1277311,0.570420301
Greenwich - Abbey Wood,00ALGP,E05000214,0.55331992,0.955734406,Ken,Outer,546843.2734,178708.1608,313.6545455,1.78836827
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,1.234567901,1.004115226,Boris,Outer,540155.2667,177009.3217,370.2190476,1.607715134
Greenwich - Charlton,00ALGR,E05000216,0.365917407,0.923505837,Ken,Outer,541436.6186,177865.1856,330.5175573,1.7168125
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,0.347826087,0.869565217,Boris,Outer,543265.2487,172526.0076,346.738125,1.261901682
Greenwich - Eltham North,00ALGT,E05000218,0.233508465,1.22591944,Boris,Outer,543290.1691,175324.1261,366.0317829,0.913783404
Greenwich - Eltham South,00ALGU,E05000219,1.499901322,1.203868167,Boris,Outer,543872.5924,174008.323,351.7663265,1.54
Greenwich - Eltham West,00ALGW,E05000220,1.231656184,1.100628931,Ken,Outer,541592.1149,175297.6876,310.8640523,1.877223975
Greenwich - Glyndon,00ALGX,E05000221,2.239359336,1.305057096,Ken,Outer,544599.2711,178557.3281,319.9277778,1.808064516
Greenwich - Greenwich West,00ALGY,E05000222,2.242595205,1.241184767,Ken,Outer,538424.3743,177252.3411,326.55625,1.753577513
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,0.841779763,1.065109088,Ken,Outer,541727.4744,176647.4223,321.7563636,1.781947743
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,0.450937951,0.955988456,Boris,Outer,541020.5584,174456.1533,330.462406,1.971235403
Greenwich - Peninsula,00ALHB,E05000225,1.417297471,1.127395716,Ken,Outer,539753.0984,178872.3605,326.4314286,1.789532872
Greenwich - Plumstead,00ALHC,E05000226,0.833049983,1.139068344,Ken,Outer,545827.0695,178164.3792,328.2,1.703123663
Greenwich - Shooters Hill,00ALHD,E05000227,0.751597144,0.977076287,Ken,Outer,544224.1763,176759.7264,358.2228571,1.276884422
Greenwich - Thamesmead Moorings,00ALHE,E05000228,3.262900676,0.718700589,Ken,Outer,545947.8063,180180.2012,336.5589109,1.58740458
Greenwich - Woolwich Common,00ALHF,E05000229,2.249134948,1.069518717,Ken,Outer,543220.1806,177783.9288,321.5480198,1.72322729
Greenwich - Woolwich Riverside,00ALHG,E05000230,4.506385069,1.227897839,Ken,Outer,542593.7439,178930.3063,311.641358,2.275459847
Hackney - Brownswood,00AMGA,E05000231,2.212208111,1.290454732,Ken,Inner,532112.461,186974.836,328.3723404,1.231339978
Hackney - Cazenove,00AMGB,E05000232,1.97978096,1.368997473,Ken,Inner,534085.8333,187008.5333,326.5193182,1.028947368
Hackney - Chatham,00AMGC,E05000233,2.997858672,1.19557459,Ken,Inner,535439.1296,185077.8861,323.3723577,1.055071633
Hackney - Clissold,00AMGD,E05000234,2.211016292,0.950349108,Ken,Inner,532937.9229,185933.2203,345.9009901,0.77449923
Hackney - Dalston,00AMGE,E05000235,2.331364625,1.585327945,Ken,Inner,533834.7646,185049.5978,339.8983193,1.177710027
Hackney - De Beauvoir,00AMGF,E05000236,5.156172533,1.239464551,Ken,Inner,533177.1493,184046.634,333.2168675,1.300588235
Hackney - Hackney Central,00AMGG,E05000237,1.47702407,1.112326769,Ken,Inner,534583.191,185033.9363,340.7444444,1.13516129
Hackney - Hackney Downs,00AMGH,E05000238,2.243884495,0.974802281,Ken,Inner,534436.6299,186088.6511,332.4256198,1.433153275
Hackney - Haggerston,00AMGJ,E05000239,1.934143223,1.598465473,Ken,Inner,533591.4628,183025.4501,330.3401786,1.024189902
Hackney - Hoxton,00AMGK,E05000240,3.14576872,1.270122582,Ken,Inner,532721.9911,183092.8656,308.107619,1.409252669
Hackney - King's Park,00AMGL,E05000241,0.473709143,1.468498342,Ken,Inner,536442.5816,185933.4453,332.6738806,1.096106195
Hackney - Leabridge,00AMGM,E05000242,2.064469395,0.959797175,Ken,Inner,535224.4334,186281.8349,319.8576923,1.1570625
Hackney - Lordship,00AMGN,E05000243,1.610796691,1.044841097,Ken,Inner,532995.1143,186881.0995,331.9628788,1.04977221
Hackney - New River,00AMGP,E05000244,2.11407179,1.233208544,Ken,Inner,533091.0517,187731.0911,324.2222222,1.242827443
Hackney - Queensbridge,00AMGQ,E05000245,2.808798646,1.065989848,Ken,Inner,534303.0109,184082.1019,320.0253731,1.307474048
Hackney - Springfield,00AMGR,E05000246,2.141376928,1.450610177,Ken,Inner,534489.1071,187533.2018,347.3930233,1.086649215
Hackney - Stoke Newington Central,00AMGS,E05000247,0.774900775,0.982800983,Ken,Inner,533596.935,186058.9005,332.8793103,1.064881475
Hackney - Victoria,00AMGT,E05000248,1.861042184,1.347040057,Ken,Inner,535389.8503,184042.9418,324.8773913,1.129579208
Hackney - Wick,00AMGU,E05000249,3.790087464,1.332778009,Ken,Inner,536639.7867,184898.7543,326.7526316,1.277261462
Hammersmith and Fulham - Addison,00ANGA,E05000250,0.447147201,1.00160973,Boris,Inner,523686.7592,179435.1576,362.0505882,1.218327402
Hammersmith and Fulham - Askew,00ANGB,E05000251,2.887391723,1.138915624,Ken,Inner,522105.4719,179738.1906,351.0863309,1.273684211
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,0.629480678,1.74855744,Boris,Inner,524112.1636,178779.5921,357.3685393,1.185185185
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,4.32770822,1.1703865,Ken,Inner,522364.293,181818.2464,341.0833333,1.768592352
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,1.205787781,1.507234727,Boris,Inner,525080.1894,177553.2958,350.9935185,1.286599424
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,0.789313904,1.477433718,Boris,Inner,523803.8399,177827.138,372.2855422,1.3815625
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,0.843234956,1.628976619,Boris,Inner,523152.617,178720.2721,346.779562,1.352992383
Hammersmith and Fulham - Munster,00ANGH,E05000257,0.661157025,1.239669421,Boris,Inner,524285.1793,176997.6647,356.8026316,1.372311213
Hammersmith and Fulham - North End,00ANGJ,E05000258,0.901225667,1.964671954,Boris,Inner,524658.4726,178075.844,361.2660194,1.553877551
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,1.110425663,2.776064158,Boris,Inner,524204.5031,176360.4086,356.4509091,0.81013986
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,0.60137457,1.567869416,Boris,Inner,525476.6509,176742.6421,340.7619048,1.630571429
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,1.784602615,1.286573978,Boris,Inner,522222.5217,178931.3507,351.5745763,1.386551265
Hammersmith and Fulham - Sands End,00ANGN,E05000262,3.803768219,2.008531817,Boris,Inner,525878.9938,176218.7939,353.9022901,1.751976285
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,1.909221902,1.404899135,Ken,Inner,523225.6779,180129.874,351,1.152598091
Hammersmith and Fulham - Town,00ANGQ,E05000264,1.926586899,1.439870209,Boris,Inner,524834.5978,176711.1677,360.9047059,1.408
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,1.333864225,1.771849492,Ken,Inner,522323.2095,180587.8346,347.18625,1.51698318
Haringey - Alexandra,00APGA,E05000266,0.412863972,0.608431117,Ken,Inner,529412.0881,190517.6938,375.679798,1.073529412
Haringey - Bounds Green,00APGB,E05000267,2.2084196,1.345755694,Ken,Inner,530124.1714,191267.0205,343.9220339,1.751975052
Haringey - Bruce Grove,00APGC,E05000268,1.701115786,2.04865557,Ken,Inner,533375.0112,190024.4334,316.5309353,2.011564626
Haringey - Crouch End,00APGD,E05000269,1.066391469,0.877192982,Ken,Inner,529741.9304,188238.8094,367.8897959,0.978310214
Haringey - Fortis Green,00APGE,E05000270,1.03253458,0.954607442,Boris,Inner,527973.3699,189787.0109,367.5152542,1.08959842
Haringey - Harringay,00APGF,E05000271,0.785962347,1.590202888,Ken,Inner,531516.1529,188372.6081,333.6414286,1.380154143
Haringey - Highgate,00APGG,E05000272,0.323501427,1.769743102,Boris,Inner,528110.0703,188048.2114,321.3,1.354756871
Haringey - Hornsey,00APGH,E05000273,1.815617839,1.022386744,Ken,Inner,530428.8293,189193.9839,350.1642857,1.357848837
Haringey - Muswell Hill,00APGJ,E05000274,0.467497774,1.135351736,Boris,Inner,529147.1574,189144.9247,382.2810811,0.932510288
Haringey - Noel Park,00APGK,E05000275,2.726616107,1.661249549,Ken,Inner,531258.2234,190088.145,331.8547826,2.071730245
Haringey - Northumberland Park,00APGL,E05000276,3.325035562,1.991465149,Ken,Inner,534459.9216,191267.0697,314.9762162,1.636585366
Haringey - St. Ann's,00APGM,E05000277,1.617052554,1.488423374,Ken,Inner,532407.3057,188759.073,336.7991803,1.785111989
Haringey - Seven Sisters,00APGN,E05000278,2.574257426,1.350135014,Ken,Inner,533223.1016,188286.5474,327.2512987,1.268071594
Haringey - Stroud Green,00APGP,E05000279,0.633762243,1.056270405,Ken,Inner,531024.4039,187933.1157,350.4166667,1.295812562
Haringey - Tottenham Green,00APGQ,E05000280,2.41350211,1.502109705,Ken,Inner,533627.069,189135.5141,314.4036496,1.680419162
Haringey - Tottenham Hale,00APGR,E05000281,1.411589896,1.950222883,Ken,Inner,534507.5189,190096.135,317.6566265,1.736646816
Haringey - West Green,00APGS,E05000282,0.672818147,1.903114187,Ken,Inner,532353.1101,189883.6627,309.8406015,1.543347639
Haringey - White Hart Lane,00APGT,E05000283,1.410788382,1.763485477,Ken,Inner,532746.3006,191159.7271,326.876,1.963353242
Haringey - Woodside,00APGU,E05000284,1.260126013,1.476147615,Ken,Inner,531369.6625,190975.5154,339.2072727,1.533507171
Harrow - Belmont,00AQFY,E05000285,0.327689787,1.09229929,Boris,Outer,517134.1206,190865.2997,371.2477273,0.318370073
Harrow - Canons,00AQFZ,E05000286,1.09935698,1.846090023,Boris,Outer,517380.5671,192938.6024,358.0178218,0.725118934
Harrow - Edgware,00AQGA,E05000287,0.457604307,1.561238223,Ken,Outer,519247.2193,190770.4152,344.575188,0.740685225
Harrow - Greenhill,00AQGB,E05000288,1.728990752,1.548049859,Ken,Outer,515660.2959,188344.8004,368.2337838,0.692486188
Harrow - Harrow on the Hill,00AQGC,E05000289,1.326375299,3.45727332,Boris,Outer,515157.0397,186799.0625,363.4521739,0.605970149
Harrow - Harrow Weald,00AQGD,E05000290,0.913461538,1.033653846,Boris,Outer,514549.6923,191918.2279,334.0244444,0.907488987
Harrow - Hatch End,00AQGE,E05000291,0.400801603,1.553106212,Boris,Outer,512872.0917,191403.0263,351.5307692,0.6121881
Harrow - Headstone North,00AQGF,E05000292,1.148459384,1.036414566,Boris,Outer,513416.1048,189652.6028,379.8928571,0.285258216
Harrow - Headstone South,00AQGG,E05000293,1.441351889,0.994035785,Ken,Outer,514327.3079,188835.4715,371.8321101,0.501896125
Harrow - Kenton East,00AQGH,E05000294,0.863806507,1.842787216,Ken,Outer,518204.5789,189325.3802,361.325,0.33340564
Harrow - Kenton West,00AQGJ,E05000295,1.470588235,1.029411765,Boris,Outer,516742.4596,189327.2702,374.7228346,0.438522637
Harrow - Marlborough,00AQGK,E05000296,2.251624884,0.882079851,Ken,Outer,515470.9189,189537.8312,353.3696,0.703044655
Harrow - Pinner,00AQGL,E05000297,0.534369687,1.311634685,Boris,Outer,511638.6728,190591.9346,363.3975904,0.517040359
Harrow - Pinner South,00AQGM,E05000298,0.203665988,0.99287169,Boris,Outer,511979.8747,188671.207,366.8119048,0.385552654
Harrow - Queensbury,00AQGN,E05000299,0.110041265,1.650618982,Ken,Outer,518099.1314,190195.7924,362.3474453,0.412540401
Harrow - Rayners Lane,00AQGP,E05000300,0.327153762,0.845147219,Boris,Outer,512652.1085,187348.9523,370.6292035,0.328856749
Harrow - Roxbourne,00AQGQ,E05000301,1.57358156,1.307624113,Ken,Outer,513233.1415,186503.0911,344.5193182,0.548248248
Harrow - Roxeth,00AQGR,E05000302,0.527565286,1.292534951,Ken,Outer,513471.6944,185795.3314,352.0440559,0.511117974
Harrow - Stanmore Park,00AQGS,E05000303,0.62011943,1.722553973,Boris,Outer,516077.455,192360.8245,338.608046,0.829042553
Harrow - Wealdstone,00AQGT,E05000304,1.468315301,1.133436373,Ken,Outer,515268.1885,190309.4001,336.0315789,0.854939759
Harrow - West Harrow,00AQGU,E05000305,1.113222916,1.248981808,Ken,Outer,513922.9355,187821.7646,340.75,0.470671085
Havering - Brooklands,00ARGC,E05000306,1.033125615,0.901935061,Boris,Outer,550138.7641,188221.8126,334.7505263,1.062830482
Havering - Cranham,00ARGD,E05000307,0.193124759,0.79181151,Boris,Outer,557048.2507,188096.8889,368.3062112,0.451956382
Havering - Elm Park,00ARGE,E05000308,0.448605422,0.780183343,Boris,Outer,552460.8429,184863.9589,331.7774194,0.978888889
Havering - Emerson Park,00ARGF,E05000309,0.174634359,0.676708142,Boris,Outer,554748.8389,188606.8049,363.2655405,0.613692308
Havering - Gooshays,00ARGG,E05000310,0.703399766,1.155585329,Boris,Outer,554574.7734,193036.4566,308.0825243,1.64431513
Havering - Hacton,00ARGH,E05000311,0.100725222,0.705076551,Boris,Outer,553948.6302,185846.6315,354.3296296,0.536090727
Havering - Harold Wood,00ARGJ,E05000312,0.218539428,0.764887999,Boris,Outer,555721.2307,190548.9166,344.7586957,0.59775123
Havering - Havering Park,00ARGK,E05000313,0.606534925,1.154372921,Boris,Outer,550646.0885,192702.1822,325.0135802,1.171618037
Havering - Heaton,00ARGL,E05000314,0.660501982,0.886959804,Boris,Outer,553062.9798,191854.7977,319.815,1.452637424
Havering - Hylands,00ARGM,E05000315,0.260521042,0.581162325,Boris,Outer,552472.1935,187249.9553,347.2536585,0.622470588
Havering - Mawneys,00ARGN,E05000316,0.511557408,0.85259568,Boris,Outer,549729.8896,190277.989,334.1979592,0.939876923
Havering - Pettits,00ARGP,E05000317,0.137335688,0.568962135,Boris,Outer,551562.1024,190454.5184,350.9813665,0.731674208
Havering - Rainham and Wennington,00ARGQ,E05000318,0.520520521,0.580580581,Boris,Outer,553425.3061,181503.0198,326.6552326,0.750378788
Havering - Romford Town,00ARGR,E05000319,2.198107958,0.820812465,Boris,Outer,551754.6941,188756.7998,345.0832061,0.817107811
Havering - St. Andrew's,00ARGS,E05000320,0.420978776,0.98228381,Boris,Outer,553814.8478,186874.7435,357.136,0.414527687
Havering - South Hornchurch,00ARGT,E05000321,0.570062523,0.698786318,Boris,Outer,551404.018,182921.5083,330.9703488,0.960827375
Havering - Squirrel's Heath,00ARGU,E05000322,1.0537596,0.750133952,Boris,Outer,553385.0138,189407.639,350.1326087,0.58002736
Havering - Upminster,00ARGW,E05000323,0.235617514,0.647948164,Boris,Outer,557693.5105,185373.8887,363.2572254,0.49413942
Hillingdon - Barnhill,00ASGG,E05000324,1.674808095,1.232844848,Ken,Outer,510598.2824,181899.2624,342.7098361,1.158460029
Hillingdon - Botwell,00ASGH,E05000325,2.885391445,1.210653753,Ken,Outer,508825.2106,180434.5032,330.6591133,1.317255622
Hillingdon - Brunel,00ASGJ,E05000326,0.79751883,0.930438635,Boris,Outer,506638.6508,182145.7386,325.403937,1.168537666
Hillingdon - Cavendish,00ASGK,E05000327,0.360279216,0.743075884,Boris,Outer,511225.4894,186935.0583,371.4957055,0.41644941
Hillingdon - Charville,00ASGL,E05000328,2.235023041,1.036866359,Boris,Outer,509220.9607,182659.4333,345.253886,0.765342394
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,0.274551214,0.591341077,Boris,Outer,510103.1857,188340.8032,357.9383333,0.340472441
Hillingdon - Harefield,00ASGN,E05000330,0.39893617,1.097074468,Boris,Outer,505639.7363,189943.4856,339.2972222,0.947729919
Hillingdon - Heathrow Villages,00ASGP,E05000331,0.629213483,1.393258427,Boris,Outer,507133.6381,176496.4565,330.0699029,1.48148688
Hillingdon - Hillingdon East,00ASGQ,E05000332,1.121865376,0.813902332,Boris,Outer,508426.6984,183780.5783,354.9466258,0.793846977
Hillingdon - Ickenham,00ASGR,E05000333,0.254129606,0.635324015,Boris,Outer,506816.8657,186221.1597,381.0364486,0.298321343
Hillingdon - Manor,00ASGS,E05000334,0.865704772,0.843507214,Boris,Outer,510027.2747,186720.6405,354.7831858,0.246315789
Hillingdon - Northwood,00ASGT,E05000335,0.589777195,1.332459589,Boris,Outer,508360.2394,190815.1694,388.5059524,0.657187994
Hillingdon - Northwood Hills,00ASGU,E05000336,0.299273194,1.047456178,Boris,Outer,510254.2465,190080.7341,364.3067227,0.729668553
Hillingdon - Pinkwell,00ASGW,E05000337,1.097482247,0.83925113,Ken,Outer,508835.7595,178907.3637,331.9664948,1.381252645
Hillingdon - South Ruislip,00ASGX,E05000338,0.838168923,0.687728347,Boris,Outer,510421.5209,185230.0535,351.8422222,0.728893307
